,title,location,company,summary,salary,url
22,Healthcare Assistant,Abu Dhabi,Global Human Capital Group,The Healthcare assistant is a healthcare professional who assists the Registered Nurse/ Midwife with non-nursing duties of patients with various healthcare…,,https://uae.indeed.com/rc/clk?jk=d1d00a634d2e469a&fccid=bc7430ba1024565c&vjs=3
23,Helpdesk Administrator II,Dubai,Talabat,"Comprehensive healthcare as well as subsidized gym membership and parking.As part of the Delivery Hero network, Talabat is the pioneer of the online food…",,https://uae.indeed.com/rc/clk?jk=1d8cd0dd8ced04cc&fccid=8948005a95e365ae&vjs=3
24,"Quality officer , healthcare experience",Al-Ayn,Urgent Care Medical Center,"Shall develop and implement, review and update a comprehensive set of quality and safety (QS) policies and procedures as per DOH, JCIA.",,https://uae.indeed.com/company/Urgent-Care-Medical-Center/jobs/Quality-Officer-d22560ed8647265f?fccid=b592a5cee9555c2a&vjs=3
25,Business Services Assistant,Abu Dhabi,Zayed University,"The University’s benefits package is highly attractive, with competitive salaries free of tax in the U.A.E., Cash housing, a furniture allowance, annual…",,https://uae.indeed.com/rc/clk?jk=e3e801d824b5b906&fccid=9628b0bd10bde506&vjs=3
26,Helpdesk Agent - Hospital,Abu Dhabi,VAMED Middle East,"VAMED may refer to a record of international success in all healthcare areas - prevention, acute care, rehabilitation, and nursing.",,https://uae.indeed.com/rc/clk?jk=a64e4fa72e9131d5&fccid=76adef59c523c118&vjs=3
27,Assistant Registrar,Abu Dhabi,Zayed University,"The University’s benefits package is highly attractive, with competitive salaries free of tax in the U.A.E., Cash housing, a furniture allowance, annual…",,https://uae.indeed.com/rc/clk?jk=a170c18cc6eb0f18&fccid=9628b0bd10bde506&vjs=3
28,Senior Cashier,Dubai,Fakeeh University Hospital,In an effort to drive academic advancement and extend quality medical services to support the local healthcare industry.,,https://uae.indeed.com/rc/clk?jk=768526d7b128f591&fccid=9594544d39556a7a&vjs=3
29,Patient Care Assistant/ Medical Assistant,Abu Dhabi,ORTHOPEDIC AND SPINE DAY SURGERY CENTRE L.L.C.,"Physician's in their offices, hospitals, and other healthcare facilities.Patient Aid responsible for clinical tasks as well a administrative, such as…","AED2,000 - AED3,000 a month",https://uae.indeed.com/company/TARMEEM-ORTHOPEDIC-AND-SPINE-DAY-SURGERY-CENTRE-L.L.C./jobs/Patient-Care-Assistant-aafe069ec77b9564?fccid=621086c0956055b6&vjs=3
30,Product Specialist (Rare Disease),Abu Dhabi,MPC Healthcare,Responsible for promoting product in assigned territory.Manage the Key Accounts & Key customers in most efficient & appropriate ways to ensure longstanding…,,https://uae.indeed.com/company/MPC-Healthcare/jobs/Product-Specialist-8adbfec65cfc43bf?fccid=0a5a1088568eadf6&vjs=3
31,Clinical Coder - Temporary,Abu Dhabi,Reach Employment Services LLC,A government healthcare facility in Abu Dhabi is looking for a Temporary Medical Coder.3 months subject to extension.,"AED6,000 - AED8,000 a month",https://uae.indeed.com/company/Reach-Employment-Services-LLC/jobs/Clinical-Coder-120f12defc2c856d?fccid=2aebe615fbcd040b&vjs=3
32,Sports and Recreation Coach,Abu Dhabi,Zayed University,"The University’s benefits package is highly attractive, with competitive salaries free of tax in the U.A.E., cash housing, a furniture allowance, annual…",,https://uae.indeed.com/rc/clk?jk=329686cb2ed2cfa0&fccid=9628b0bd10bde506&vjs=3
33,Temporary Recruiter - Healthcare,Abu Dhabi,Black Pearl Consult,Healthcare background is a must.Black Pearl is currently growing its team of consultants.This role will be for a project we have in Abu Dhabi and will be…,,https://uae.indeed.com/rc/clk?jk=9e8edb4621053325&fccid=e9d731aa91b2d791&vjs=3
34,Regional Sales Manager,Abu Dhabi,Boehringer Ingelheim,We develop breakthrough therapies and innovative healthcare solutions in areas of unmet medical need for both humans and animals.,,https://uae.indeed.com/rc/clk?jk=8ddfaca8f27217d9&fccid=6902b1131240791f&vjs=3
35,Patient Administrator,Abu Dhabi,Global Human Capital Group,"Experience in a Contact Centre or Healthcare environment.At least 2-3 Years’ experience in a customer services role, preferably in the healthcare industry.",,https://uae.indeed.com/rc/clk?jk=8f2dff74bed4df1d&fccid=bc7430ba1024565c&vjs=3
36,authorization coordinator,Abu Dhabi,A private dental centre - ABU DHABI,Updated in the new changes of the healthcare rules and regulations.An authorization clerk is requested to work in a private dental centre in abu dhabi.,,https://uae.indeed.com/company/A-private-dental-centre/jobs/Authorization-Coordinator-cef7647cda15ec98?fccid=14bc3136c2402311&vjs=3
37,HR and Payroll Administrator,Dubai,GardaWorld,"Payroll service providers, recruitment consultancies, learning and development services providers, remuneration and benefits service providers, healthcare…",,https://uae.indeed.com/rc/clk?jk=05609cc4c6298a74&fccid=4cf2e927cd5f2c4c&vjs=3
38,Collections and Instruction Librarian,Abu Dhabi,Zayed University,"The University’s benefits package is highly attractive, with competitive salaries free of tax in the U.A.E., Cash housing, a furniture allowance, annual…",,https://uae.indeed.com/rc/clk?jk=5df12fd78b35e112&fccid=9628b0bd10bde506&vjs=3
39,Corporate Sales Partner,Abu Dhabi,MOKHTAR GROUP INC.,"High tech, healthcare, art, education, sports, government, telecom, retail, printing and design, entertainment, travel, tourism and hospitality, real estate.","AED146,919 - AED330,568 a year",https://uae.indeed.com/company/MOKHTAR-GROUP-INC./jobs/Corporate-Sales-Partner-14032801ee11b277?fccid=e93081adf49cf273&vjs=3
40,Business Analyst,Abu Dhabi,McKinsey & Company,"We encourage you to explore different content areas or geographies through a year-long rotation with one of our practices (e.g., corporate finance, social…",,https://uae.indeed.com/rc/clk?jk=894daa12757d2185&fccid=6576e7250aa78c3c&vjs=3
41,Healthcare Audit Executive,Dubai,AXA,Proficient Knowledge of the Country’s healthcare Insurance market.Proficient Knowledge of GCC countries healthcare providers trends and behaviors.,,https://uae.indeed.com/rc/clk?jk=664c5bdcfd166df7&fccid=753062d67d31c43a&vjs=3
42,Physiotherapist,Abu Dhabi,Yas Clinic Hospital,"Discuss patient’s goalposts with physicians, surgeons, and healthcare team.Collaborate with patient doctors for referrals, notes, and medical history.",,https://uae.indeed.com/company/AbuDhabi-Stem-Cells-Center/jobs/Physiotherapist-e00bfe92e9a3dabb?fccid=99e273d49322bf25&vjs=3
43,Business Operations Associate,Abu Dhabi,Nathan & Nathan,"Planning, monitoring, preparing and presenting action plans with respect to the several Healthcare wide initiatives presently being undertaken.",,https://uae.indeed.com/rc/clk?jk=23430a0493442884&fccid=8bcb2c3c2864e801&vjs=3
44,ORTHODONTIST - PART TIME,Abu Dhabi,"Primexperts Healthcare, Training And Consultancy",ORTHODONTIST PART TIME NEEDED URGENTLY!A multi speciality medical center and looking for specialist orthodontist who is either DOH licensed or DHA and ready to…,,"https://uae.indeed.com/company/Primexperts-Healthcare,-Training-And-Consultancy/jobs/Orthodontist-2d9f8bc160804a84?fccid=460f9c289d11e23d&vjs=3"
45,Student Career Development Officer,Abu Dhabi,Zayed University,"The University’s benefits package is highly attractive, with competitive salaries free of tax in the U.A.E., Cash housing, a furniture allowance, annual…",,https://uae.indeed.com/rc/clk?jk=273da398290cdd6f&fccid=9628b0bd10bde506&vjs=3
46,Medical Coder,Abu Dhabi,HealthPlus Medical Services,"2 years experience in a healthcare setting, preferably within UAE and within outpatient and outpatient large scale center.CCS, CCS-P, CCA, CPC, CPC-H.",,https://uae.indeed.com/company/HealthPlus-MEdical-Services/jobs/Medical-Coder-92fe836a2b32f402?fccid=8739797319203d6e&vjs=3
47,Healthcare Audit Executive,Dubai,AXA Group Operations Malaysia Sdn Bhd,"To be responsible for performing providers Audit.Campaign, and identifying unfavorable trends in providers billing, maximize.Ensure compliance with legal and.",,https://uae.indeed.com/rc/clk?jk=66bf49e2349bed7c&fccid=5ba38d9114b0bffb&vjs=3
48,"NOW HIRING !! Homecare Nurses - up to AED 11,000 - Abu Dhabi",Abu Dhabi,CIMS Medica,Minimum 2 Years of working experience.Must have HAAD/ DHA License.Must have Bachelor’s Degree in Nursing.UP to 11000 AED /month*.,"AED11,000 a month","https://uae.indeed.com/company/Cims-Medica-FZC-LLC,/jobs/Homecare-Nurse-1afe9d4fa17fc5de?fccid=7f51d8667c592f1e&vjs=3"
49,3D Designer Architect (Abu Dhabi Experience is Required),Abu Dhabi,Urbanism Planning Architecture Consultancy (UPA),"We are Looking for an Architect Designer (3D designer) with at least 3-5 years experience in residential, commercial, Landscape ,healthcare, interior projects.",,https://uae.indeed.com/company/Urbanism-Planning-Architecture-Consultancy-(UPA)/jobs/Designer-Architect-eb75744491a7fe11?fccid=08351e254698a69b&vjs=3
50,Internship Officer,Abu Dhabi,Zayed University,Subsidized healthcare for the employee and sponsored family members.The College of Communication & Media Sciences seeks an incumbent for the position of…,,https://uae.indeed.com/rc/clk?jk=942a7f20c7fdf5ef&fccid=9628b0bd10bde506&vjs=3
51,Marketing Executive,Abu Dhabi,London Consulting Medical Center,We are in need of an Arabic Marketing Executive with 4-5 years experience in Healthcare Facility in Abu Dhabi .Plastic shield at work stations.,,https://uae.indeed.com/company/London-Consulting-Medical-Center/jobs/Marketing-Executive-fc13e31d5015d412?fccid=377f6b71735dc50b&vjs=3
52,Adjunct Faculty - e Healthcare Management,Dubai,Capital University College,"Capital College invites applications from E Healthcare management experts.3.Innovation in the Danish Healthcare System, National, and Local Experiences.",,https://uae.indeed.com/company/Capital-University-College/jobs/Adjunct-Faculty-33091f576a279966?fccid=c9f67b4b22495a26&vjs=3
53,ARABIC CUSTOMER SERVICE REPRESENTATIVE - FEMALE,Abu Dhabi,"Primexperts Healthcare, Training And Consultancy",(1) ARABIC CUSTOMER SERVICE REPRESENTATIVE - Female - URGENT!With experience in call center.Can speak Arabic and English.Cancelled visa or Visit Visa.,"AED3,000 - AED3,500 a month","https://uae.indeed.com/company/Primexperts-Healthcare,-Training-And-Consultancy/jobs/Arabic-Customer-Service-Representative-4f5216216ffd3d4f?fccid=460f9c289d11e23d&vjs=3"
54,Anesthesia Specialist,Abu Dhabi,Royal Womens Hospital,"Anaesthesia consultant actively participate in the teaching and training of junior anesthetists and allied healthcare professionals.Feb 23, 2021, 5:19:00 AM.",,https://uae.indeed.com/rc/clk?jk=60bae872661fb5ad&fccid=5a95f39f200b3b5e&vjs=3
55,IT Assistant,Dubai,Medseven Healthcare Group,1-2 Years of Experience as IT Assistant in Healthcare or Pharmaceutical Industry.Knowledge in Software and Hardware Functions.,"AED3,500 - AED4,500 a month",https://uae.indeed.com/company/Medseven-Healthcare-Group/jobs/IT-Assistant-e60cc5975049b971?fccid=8d4ffa2a7c6133b7&vjs=3
56,Knowledge Analyst - IT/GEM/Banking/Healthcare Procurement,Abu Dhabi,McKinsey & Company,Engineering degree from a Tier 1 university;MBA with specialization in operations/IT/Banking/Energy & Materials is a plus.,,https://uae.indeed.com/rc/clk?jk=402c254808797197&fccid=6576e7250aa78c3c&vjs=3
57,UAE TEACHING VACANCIES,UAE,galvineducation,"We have vacancies in our client schools in the UAE across a number of subject areas.These posts are at well reputed UK, IB and US curriculum schools.",,https://uae.indeed.com/rc/clk?jk=96f669ad921fce33&fccid=4b42887470786fab&vjs=3
58,Sales Executive (Healthcare ),Abu Dhabi,Emerging Global Technologies,Minimum 2-3 years of experience working in UAE specifically in Healthcare sector.Candidate must have a thorough understanding of UAE Healthcare landscape and…,"AED6,000 a month",https://uae.indeed.com/company/Emerging-Global-Technologies/jobs/Sales-Executive-ac2f6adb26aa2d39?fccid=1f3b672784599d62&vjs=3
59,Chief Financial Officer,Abu Dhabi,BuildConsult International,"Capital Markets, Private Equity, Real Estate, Hospitality, Healthcare & Retail where you will ensure that international best finance & accounting practices are…",,https://uae.indeed.com/rc/clk?jk=fcdaac47bcaf7e46&fccid=a6632c00ce04cc4f&vjs=3
60,Patient Administration Ambassador | Billing and Insurance Co...,Abu Dhabi,Global Human Capital Group,Previous healthcare operation or healthcare insurance experience.Our client Leading Hospital Group in UAE requires for their headquarter in Abu Dhabi:,,https://uae.indeed.com/rc/clk?jk=8520b98095672d29&fccid=bc7430ba1024565c&vjs=3
61,Pharmacist / Pharmaceutical Sales Representative,Abu Dhabi,Property Shop Investment,Qualified candidates will possess a university level degree and3-4 years+ of healthcare work experience with demonstrated sales and marketing expertise in sales…,,https://uae.indeed.com/rc/clk?jk=206e936b443fba4e&fccid=6b113e9011e8fb25&vjs=3
62,Endodontist,Abu Dhabi,Search Plus HR,Provision of healthcare within its scope of action with the highest quality.We are recruiting a Dentist Endodontist for one of our clients in Dubai.,,https://uae.indeed.com/rc/clk?jk=774498ca017f9083&fccid=618066ca5559b1d4&vjs=3
63,Medical Representative,Dubai,Metropolitan Medical Marketing,Minimum 5 years Sales Experience or related healthcare experience.Timing and follow up of orders.Value proposition for orders with decision makers.,,https://uae.indeed.com/rc/clk?jk=aacc9fc8401c2553&fccid=a6e3498789244b17&vjs=3
64,Health Care Assistant,Sharjah,University Hospital Sharjah,Minimum 2 years nursing experience or demonstrated related healthcare experience.To assist the nursing team in providing nursing care to assigned group of…,,https://uae.indeed.com/rc/clk?jk=e6f8dd3b2d383f8b&fccid=20e48137bc4f99a9&vjs=3
65,HAAD Pharmacist,Abu Dhabi,Abu Dhabi (Private Medical Center),Provides pharmacological information by answering questions and requests of healthcare professionals.WE ARE LOOKING FOR A FEMALE PHARMACIST.,"AED3,500 - AED4,000 a month",https://uae.indeed.com/company/GG-Clinics/jobs/Haad-Pharmacist-610372d5819c95fc?fccid=4fc50207268f0520&vjs=3
66,Senior Store Assistant - Materials Management Department,Dubai,American Hospital Dubai,Minimum 3-5 years of Healthcare experience.We are currently seeking for experienced Senior Store Assistant.To succeed in this role you are expected to promote…,,https://uae.indeed.com/rc/clk?jk=b6233ddcb3c70e8a&fccid=e9a454b798c6935c&vjs=3
67,Director,Abu Dhabi,Zayed University,"The University’s benefits package is highly attractive, with competitive salaries free of tax in the U.A.E., Cash housing, a furniture allowance, annual…",,https://uae.indeed.com/rc/clk?jk=814b6995a48701df&fccid=9628b0bd10bde506&vjs=3
68,"Key Accounts Manager, Hospitality/Healthcare – MEA",Dubai,Johnson Controls,"You will be based in Dubai to deliver a unique value proposition that accelerates growth, penetration, and wallet share of maintenance contracts and projects…",,https://uae.indeed.com/rc/clk?jk=c964ad7c7e9ac720&fccid=dacddaa4d49537d8&vjs=3
69,Family Medicine Specialist,Abu Dhabi,Newcastle Medical Centre,An advanced medical centre in Abu Dhabi is in need of following healthcare professionals:Creating patient health programs using historical data.,,https://uae.indeed.com/company/Newcastle-Medical-Centre/jobs/Family-Medicine-Specialist-4f3f4be482626760?fccid=b8f93d82330e13e1&vjs=3
70,Coder-Outpatient Coding Officer,Al-Ayn,Kanad Hospital,"Minimum of three (3) years Outpatient coding experience in any setting i.e., hospital, clinic, or other related healthcare field is required.",,https://uae.indeed.com/rc/clk?jk=019ee35588df72c6&fccid=67e1f7568e1ff843&vjs=3
71,Office Coordinator,Abu Dhabi,Reyada Home Health Care Services,"With at least 2 years of work experience in administration and corporate healthcare industry.Must be excellent in English, speaking and writing communication…",,https://uae.indeed.com/rc/clk?jk=1941d83e1a996f79&fccid=705c674a5c55570e&vjs=3
72,Help Desk Support Officer,Dubai,Zayed University,"The University’s benefits package is highly attractive, with competitive salaries free of tax in the U.A.E., cash housing, a furniture allowance, annual…",,https://uae.indeed.com/rc/clk?jk=ed8a20e6a89fdf1a&fccid=9628b0bd10bde506&vjs=3
73,Senior Operations Officer (UAE Nationals Only with Family Bo...,Abu Dhabi,MDC Business Management Services,"\*Preferred - Healthcare and others (airline, hospitality), industry or sector within UAE only.Reporting to the Operations Manager, the Senior Operations…","AED30,000 - AED35,000 a month",https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AXjjAlOCbQxIMFcoVa-id-9VsDv4se0BFeHHAzdcsaRj6vCn3qpHJvMvMgnTPb8MC3NxyjTZvS2QQoCTgnrXQI111bMH273qTwVXarTNAEyee3ng1njbbnpBEKZFMyeYgH5Vr_SlaDW8yGqEwE5fjPabbWkQ5skD0qEdPFKds5knIq2VeLGEsHbc1XbROF87To51UoU6YcN-U0KpxGBGV7g1xqi9DxMp5Z-uUBQDtHB71jiaUk4LoDJf7Mkqv7LnmK9SmsiX0dhzIW4M8AzTjhcKiUgXm3_81BLP7yYC2iUpg1K3y82VpLj5MAx5BUOnCGbzb9zj3DCZGkcA2n6-RfEOEp_zbuMXh7PRV5MRRoELyAvKZL1K7KAu2juiuzF5c9xJJDhD6OX4i-yYWk8zatpwQSyHGdZMR7GJePWgJmO-mx3MKfVVJiR6GJ6Y3ti1NXXErOznfydMYsk0WBdG3BYUF04lL1Sq0x7fWpBQl-7WLI7tQL-539&p=13&fvj=1&vjs=3
74,Healthcare Assistant I Healthcare I Dubai- UAE,Dubai,Al-Futtaim,"As a humble family business that started on the banks of the Dubai Creek in the 1930s, Al-Futtaim has expanded to a presence in 31 countries, a portfolio of…",,https://uae.indeed.com/rc/clk?jk=7de7ace3ceffe44f&fccid=b5139e4031867414&vjs=3
75,MALE Registered Nurse RN,Abu Dhabi,Private healthcare facility,"With DOH license/ passer, DHA licensed.Can join immediately or after one month notice period.Up to AED8,000.00 per month.","AED8,000 a month",https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DdVfliTICGuZN_p9ROzTwDIhmm_OaZ7Z3Ke_m-gwQ3s3y0IW14r2rOETV5Bs7rDQWVE066h2xm0B-XXIpJU-oih2VvoI5D5tckc-f8qHSzqM35pEGA3w1mEI8YNUnzTWJzRpjdH7Qf-9RGscLNEhwkiWwiuvOorVdP8r3-RYzedsyRiHoK-upQMDH3tVnsfiyyyvCq4wlgD6V9OXSLL7Fet3bCitb0CAnyG0WCX4zYDSBduFv7SwDzgxpnspJjw4CfNcHdY90HpTS5a7RsCJyQT1arQIeBcgXoeIXIyT6-CZ_UMwgAnubzKpvdPAR3QBQavDCS_D1s8nX2qYG9mX4gyuxs28w0PdP_igD0IFvHDOksyy71IbJgSKKC82zKCHj2YRlFWhUtKGa1gEkCqxiO-CDwD4pGTZthn7Kn5f4NeWiBduGGqtZNqFqPTZy9_2IgjYG7r_JIww==&p=0&fvj=1&vjs=3
76,Registered Nurse,Abu Dhabi,Housecall,Housecall is a product of DrOnCall which is a primary healthcare provider healthtech startup implementing progressive solutions to our community's healthcare…,,https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AOyjwbQkm0M3-pNgk3AAw_wxRWXIR9IFY8EsU1r8zUdXriedwfyG1j0fP6nr8cYiyX3IGan2wZbttR0MOh3lm6AgcbYQoOjqpE9G_MfYJF92M0QMboQJ0lu9o0CPTp_RuPYmnv-fCUbWSKcSXYMrmLMiFgd94K6A4FPuYdXJQOm9IaO6SavP9O_aZMOLRjVM4Ybam9iLQ02w4Ib4bPeJCDSPX0ufT4FlXm986j1PnQg_sTzOv3WENTKbYxvLGjI4rORpQFzp5JUN56DQIGQv8Moi8NwgZgLPeWlAshtITjBFyx8pCBDqTo-cc_JTfaxvmI7IQ2lx-0Jy_nO6q4OR0QyezIACGfC_SBZYygNV9c_w5kVBY1y6_qDp2WL9iO8qEa6jXLWTIVgBudDeCRNFfxTY7S5NJicNsUJ0Y5kWnpF2HpAvptY6mPbtaPHd3o_OQ=&p=1&fvj=1&vjs=3
77,Western Pediatric Oncologist,Dubai,Allocation Assist Dubai,Leading a treatment team of other physicians and healthcare workers.We currently have a vacancy for a Western Pediatric Oncologist with one of our hospitals in…,,https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A-UuX9_p0ntRvRhtvtwMyGb5wnngVmu-Ci8ZfphnzOV636k66aDGlyskaX-zE5r2hOp-sxOUTHQaulvAzA9WPlTqKdoyrB3xzuq36B7yqdtdEnODbRGGua5rT30fCI2DFsLTvHn7ACwvHbraOj8PS7jtGLHXZhxmy3yC3s9hgmAjccTykUJ5WAB9yRzQ4ZRwcgg5JTXWxtPVnXmY_w0lFAuwp8CXmRQ2Kqyjl8LRLsZBhP3njH8zPKmySpkBlj3uV079vuViQZ3kefOar2MuzxW9yTvcaHYnM10px-DPA-4A_1Aa9UczdmC0DJStVJo6H22jmXXvnlCMVJBZMz_pjoXuYLB_qqdeQykiKEKuvqXQ3QFJqyIkkCb_fQ02RTuTBzxg09gMSU7y9BSqbn1ss7kyvH0w4MBTQuy7CKUs89pnXYT1c9ijVzgEVwnr7RKtJcR5CIUKaXJw==&p=2&fvj=1&vjs=3
79,PHLEBOTOMIST,Abu Dhabi,NMC Healthcare,NMC Healthcare is the largest private healthcare company in the UAE and ranks amongst the leading fertility service providers in the world.,,https://uae.indeed.com/rc/clk?jk=5c6b15d07eee4c4d&fccid=d59f4719f5b1f6db&vjs=3
80,SONOGRAPHER,Abu Dhabi,NMC Healthcare,NMC Healthcare is the largest private healthcare company in the UAE and ranks amongst the leading fertility service providers in the world.,,https://uae.indeed.com/rc/clk?jk=585043d8185af9c5&fccid=d59f4719f5b1f6db&vjs=3
